Nama Perusahaan,Alamat,Kawasan/Kecamatan
PT. FUJI PRESISI TOOL,"INDONESIA, Kawasan Industri EJIP Plot 3B-, 2, Desa Sukaresmi, Cikarang, Selatan, Bekasi 17550, 100, 2, 136, PT. FUJI PRESISI TOOL, INDONESIA, Kawasan Industri EJIP Plot 3B-, 2, Desa Sukaresmi, Cikarang, Selatan, Bekasi 17550, 100, 4, 137, PT. KYODEN PRODUCTS, INDO, Kawasan Industri MM2100,, Blok I, 3 Cikarang, Barat~~Bekasi 17520, 100, 2, 138, PT. SHOWPLA INDO",MM2100
PT. SHOWPLA INDO,"Kawasan Industri MM 2100,, Blok I No. 3-4, Kec. Cikarang, Barat, 100, -, 140, PT. V.S. TECHNOLOGY, INDONESIA, Jl. Jababeka IV/E, Blok V-78K, Kawasan Industri Jababeka,, Desa Pasirgombong,, Kecamatan Cikarang Utara,, Bekasi 17530",Jababeka
PT. COCA-COLA BOTTLING,"INDONESIA, Pondok Indah Office Tower 2,, Lt.14, ~Jl. Sultan Iskandar, Muda Kav. V-TA, ~Kel. Pondok, Pinang, Kec. Kebayoran Lama~, 100, -",Lainnya
PT. KOMATSU,"UNDERCARRIAGE, INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka XI Blok H 16,, Cikarang Utara,, 300, 4, 143, PT. YAMAMURA UTAMA, INDOPLAS, Kawasan Industri Jababeka, Jl., Jababeka XVI Blok V No. 42-, 43,Harjamekar, Cikarang Utara, 200, 2, 144, PT. KASAMORI, 1-3-3 MIYOSHI-CHO, KIRYU-, SHI, JAPAN –, , 200, 3, 145",Jababeka
PT. INDO CREATIVE MEBEL,"Delta Silicon Industrial Park,, Blok L8, No. 5B-5C, Lippo, Cikarang, Desa Sukaresmi,, Kec. Cikarang Selatan, , 100, , 5, 146, PT. FUKOKU INDUSTRIES, INDONESIA, Jl. Tekno Boulevard Blok B5 A-, B,~Kawasan Industri Jababeka,, Cikarang, , , 147",Jababeka
PT. MALUGO INDONESIA,"Kawasan lndustri Jababeka ll,, Jl. lndustri Selatan I, Blok 00 3B, 100, 2, 148, PT. MALUGO INDONESIA, Kawasan lndustri Jababeka ll,, Jl. lndustri Selatan I, Blok 00 3B, 200, 2, 149, PT. CRESTEC INDONESIA, Kawasan Industri MM2100 Jl, Lombok Blok N-2, Cikarang, Barat, Bekasi 17520, 200, 1, 150, PT. GENERAL MOTORS, INDONESIA, Jl. Raya Bekasi Km. 27,, Pondok Ungu-Bekasi, Kel., Medan Satria, Kec. Medan, Satria, 300, 3, , , R A H A S I A, , , R A H A S I A, 147, , 1, 2, 3, 4, 5, 151, PT. TAI ELECTRONIC, INDONESIA, Kawasan Industri Jababeka,Jl., Jababeka IV Blok T1, E,F,Bekasi 17530, 150, 2, 152, PT. EVONIK INDONESIA, Jl. Jababeka V Blok H-2,, Kawasan Industri Jababeka,, Desa Harjamekar, Kec., Cikarang Utara, Bekasi 17530, 200, 2, 153, PT. ENKEI MOTOR, INDONESIA, Bekasi International Industrial, Estate Blok C11 No. 8, Lippo, Cikarang, 100, 2, 154, PT. ASAHI BEST BASE, INDONESIA, Kawasan Industri MM2100 Jl., Sumatera Blok C-2, Desa, Gandamekar, Cikarang Barat, 100, 1, 155, PT. REL-ION STERILIZATION, SERVICES, Kampung Meriuk RT.02 RW.02,, Desa Gandamekar, Kecamatan, Cikarang Barat,, 200, -, 156, PT. SENJAYA SOODE, PRECISION, Jl. Teuku Umar Km. 44,, Cibitung, Bekasi 17520, 100, -, 157, PT. ECOLAB INDONESIA, Jl. Jababeka XII Kav. V-37, Kawasan Industri Jababeka, Cikarang, Bekasi Jawa Barat, 17530, 200, 2, 158, PT. PARKER METAL, TREATMENT INDONESIA, Kawasan Industri MM2100,, Blok KK-11, Jatiwangi,, Cikarang Barat, 300, 5, 159, PT. REHAU INDONESIA, Jl. Inti II Blok C10 No. 12A,, Bekasi International Industri, Estate, Lippo Cikarang, Bekasi, 100, -, 160, PT. TOYO DENSO, INDONESIA, Kawasan Industri MM 2100 ,, ~Jl. Irian Blok KK - 12, ~Desa, Jatiwangi, Kec. Cikarang Barat, 100, 1, 161",Jababeka
PT. VORTEX CONVEYOR,"INTERNATIONAL, Jl. Kruing 2 Blok L-9 No. 8 Delta, Silicon Industrial Park, Lippo, Cikarang, 100, 1, 162, PT. ARMSTRONG INDUSTRI, INDONESIA, Bekasi International Industrial, Estate, Blok C-1 No. 3,, Lemahabang, BEKASI, 17550~~~~, 100, 1, 163, PT. ARMSTRONG INDUSTRI",Bekasi
PT. SBP INDONESIA,"Kawasan Industri MM 2100, Jl., Irian Blok NN 1-1, Cikarang, Barat, 100, -, 165, PT. YAN JIN INDONESIA, Kawasan EJIP Industrial Park, Plot 8 H Lemahabang Cikarang, Bekasi 17550, 100, -, 166, PT. KAO INDONESIA, Jl. MT. Haryono Kav. 39-, 40,~Kel. Cikoko, Kec., Pancoran,~Jakarta Selatan, 12770, 400, 2",MM2100
PT. PASIFIK SATELIT,"NUSANTARA, Kawasan Karyadeta, Pancamurni Blok A, Kav. 3,, Lemahabang,, 200, -, 170, PT. INDO BALAU UME, Menara Batavia Lt.3, Jl. K.H., Mas Mansyur Kav. 126, jakarta, pusat 10220, 100, 2, 171, PT. SANKO GOSEI, TECHNOLOGY INDONESIA, Kawasan Industri Jababeka,~Jl., Jababeka XII B, Blok W 17-, 20,~Bekasi,~Jawa Barat 17550, 100, 4",Jababeka
PT. SANKO GOSEI,"TECHNOLOGY INDONESIA, Kawasan Industri Jababeka,~Jl., Jababeka XII B, Blok W 17-, 20,~Bekasi,~Jawa Barat 17550, 100, 2",Jababeka
PT. SAN MIGUEL,"INDONESIA FOODS AND, BEVERAGES, Kawasan Industri MM2100, Jl., Irian VII Blok OO-2 Desa, Jatiwangi, Cikarang Barat,, 200, 1, 174, PT. LUXINDO INTERNUSA, Jl. Raya Narogong KM. 14,  RT., 001/RW. 006,~ Kel., Cikiwul,Kec. Bantar Gebang, 100, -, 175",MM2100
PT. IK PRECISION,"INDONESIA, Kawasan Industri Cikarang, Jl., Jababeka XVII F, SFB Blok U, 23 C,D, Cikarang Utara, 100, 3, 176, PT. NIHON SEIKI INDONESIA, Jl. Angsana Raya Blok A5 No.2,, Delta Silicon Industrial Park,, Lippo Cikarang, 100, -, 177, PT. KOMATSU, UNDERCARRIAGE, INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka XI Blok H 16,, Cikarang Utara,, 300, 4, 178, PT. CHEONG HUAT PLASTIC, Kawasan Industri Jababeka, Jl., Jababeka IV, SFB Blok T No. 1, C & 1 D, Harjamekar, Cikarang, Utara, Bekasi, 200, 1, 179, PT. ARBE CHEMINDO, Gedung Menara Batavia Lantai, 32, Jl. KH. Mas Mansyur Kav., 126, Karet Tengsin, Tanah, Abang, 200, 3, 180, PT. MITUTOYO INDONESIA, Komplek Ruko Bekasi Fajar, Blok A6-A7, Kawasan Industri, MM2100, Cikarang,, Gandamekar, Cikarang Barat,, Bekasi 17520~~, , 100, , 5",Jababeka
PT. JOTUN INDONESIA,"Kawasan Industri MM 2100,, ~Blok KK-1, Desa Jatiwangi,, ~Kec. Cikarang Barat,, , , 182",MM2100
PT. KARAWANG TARO,"LOGISTICS CENTER, INDONESIA, Jl. Raya Bekasi Karawang,, Desa Tanjung Baru, Lemahabang, Cikarang Timur, 100, 2, 183, PT. INDONESIA FULCON, EJIP Industrial Park Plot 5L-1,, Lemahabang, Cikarang, Selatan,, 200, 2, 184, PT. STAR TEC PACIFIC, Kawasan Industri Jababeka I,, Jl. Jababeka Raya Blok K No., 1-H, Kel. Wangun Harja, Kec., Cikarang Utara, Bekasi 17530, 200, 2, 185, PT. STAR TEC PACIFIC, Kawasan Industri Jababeka I,, Jl. Jababeka Raya Blok K No., 1-H, Kel. Wangun Harja, Kec., Cikarang Utara, Bekasi 17530, 300, 3, , , R A H A S I A, , , R A H A S I A, 149, , 1, 2, 3, 4, 5, 186, PT. SUPER LABEL, INDONESIA, Kawasan Industri Jababeka,~Jl., Industri Selatan 6A Blok GG, No. 6-H, Desa Pasirsari, Kec., Cikarang Selatan~Bekasi, 150",Jababeka
PT. SYSTEM ENGINEERING,"INTEGRATOR INDONESIA, Jl. Industri Selatan 2 Blok JJ-3,, Kawasan Industri JABABEKA II,, Kel. Pasir Sari; Kec. Cikarang;, 200, 2, 188, PT. PACIFIC CABLE",Jababeka
PT. DNT INDONESIA,"Jl. Angsana II Blok AE No. 23, Delta Silicon Industrial Park,, Lippo Cikarang Bekasi, 100, 1, 190, PT. SUPER STEEL, CIKARANG, Kawasan Industri MM 2100, Blok T - 4, Jl. Bali I Blok T-4,, Cibitung,, 200, -, 191, PT. WANXING INDONESIA, Jl. Samsung 2B Blok C5E UKM, Center, Kawasan Segitiga, Emas, Desa Mekar Mukti, Kec., Cikarang Utara, 100, -, 192, PT. REL-ION STERILIZATION, SERVICES, Kampung Meriuk RT.02 RW.02,, Desa Gandamekar, Kecamatan, Cikarang Barat,, 200, 2, 193, PT. HUME CONCRETE, INDONESIA, Jababeka Industrial Estate Jl., Jababeka V Blok G, Cikarang,Bekasi 17530, 300, 5, 194, PT. RAFLATAC INDONESIA, Kawasan Industri Delta Silicon, I, Jl. Meranti I Blok L2-8, Lippo, Cikarang,, 100, -, 195, PT. SHIBAURA SHEARING, INDONESIA (SSI), Kawasan Industri MM2100,, Blok II-2,3, Desa Jatiwangi,, Cikarang Barat,, 100, 1, 196, PT. TEXWAVE UTAMA, INTERNATIONAL, Galeria Singaraja Blok D-2,, Lippo Cikarang, Desa Cibatu,, Kec. Cikarang Selatan, bekasi, 17550, 100, 1, 197, PT. DAIDO SP INDONESIA, Kawasan Industri MM 2100,, Blok LL-12, Kec. Cikarang, Barat, 100, 1, 199, PT. EAGLEBURGMANN, INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka, Blok J6-E, Cikarang,, Bekasi, Jawa Barat, 100, -, 200, PT. ENKEI INDONESIA, Lippo City Development Blok, C.11 No. 8, Techno Village, Desa Cibatu, Cikarang Selatan,, Kab Bekasi, Jawa Barat, 100, -, 201, PT. HITACHI, CONSTRUCTION, MACHINERY INDONESIA, Jl. Raya Cibitung Km. 48,8, Desa Kalijaya, Kecamatan, Cikarang Barat, Bekasi 17520, 400, 2, 202, PT. HITACHI, CONSTRUCTION, MACHINERY INDONESIA, Jl. Raya Cibitung Km. 48,8, Desa Kalijaya, Kecamatan, Cikarang Barat, Bekasi 17520, 100, 1, 203, PT. WALSIN LIPPO, INDUSTRIES, Jl. MH. Thamrin Blok A1-, 1,~Delta Silicon Industrial, Park~Lippo Cikarang, Desa, Sukaresmi,~Kec. Cikarang, Selatan, 100",Jababeka
PT. PANTOS LOGISTICS,"JAKARTA, Kawasan Industri MM2100 Blok, G-1, Cikarang Barat, 200, -, 205, PT. TSUCHIYA, MANUFACTURING, INDONESIA, Kawasan Industri MM2100,, Blok E - 8, Desa Gandamekar,, Kec. Cikarang Barat, 100, 2, 206, PT. TAI ELECTRONIC, INDONESIA, Kawasan Industri Jababeka,Jl., Jababeka IV Blok T1 ,F,Bekasi, 100, 4, 207, PT. COLOROBBIA, INDONESIA, Jl. Kruing 2 Blok L.9-03,~, Kawasan Industri Delta Silicon, Park, Desa Sukaresmi,~ Kec., Cikarang Selatan, 100",Jababeka
PT. COLOROBBIA,"INDONESIA, Jl. Kruing 2 Blok L.9-03,~, Kawasan Industri Delta Silicon, Park, Desa Sukaresmi,~ Kec., Cikarang Selatan, 200",Delta Silicon
PT. TAEGUTEC INDONESIA,"Easton Commercial Center, Jl., Gunung Panderman Blok B No., 12, Lippo Cikarang, Desa, Cibatu, Kec. Cikarang Selatan,, Kabupaten Bekasi 17550, 100, -, 210, PT. LA INNOMATION, ENGINEERING, Kawasan Industri Jababeka , Jl., Jababeka II E Blok C-15 E,, Pasir Gombong, Cikarang, Utara,, 100, 3, 211, PT. EVONIK INDONESIA, Jl. Jababeka V Blok H-2,, Kawasan Industri Jababeka,, Desa Harjamekar, Kec., Cikarang Utara, Bekasi 17530, 100, -, 212, PT. YQ TEK INDONESIA, Kawasan Industri Jababeka II,, Jl. Industri Utama Blok RR No., 5-H, Bekasi 17550, 200, 2, 213, PT. YQ TEK INDONESIA, Kws Jababeka II, Jl. Industri, Utama Blok RR No. 5-H, Bekasi, 200, 2, 214, PT. REHAU INDONESIA, Jl. Inti II Blok C10 No. 12A,, Bekasi International Industri, Estate, Lippo Cikarang, Bekasi, 200, 3, 215, PT. SYSTEM INDONESIA, Jl. Industri Selatan III Blok GG, No. 3A, Kawasan Industri, Jababeka II,, 100, 5, 216, PT. ALPHA INTEGRATED, Kawasan Industri Jababeka II, Jl. Industri Selatan II Blok, MM/12 Desa Pasirsari Kec., Cikarang Selatan, , , 217",Jababeka
PT. NIHON ETCHING,"INDONESIA, Kawasan Industri Jababeka II,, Jl. Industri Selatan 3A Blok GG, No. 2D, Cikarang, 100, 2, 218, PT. NIHON ETCHING, INDONESIA, Kawasan Industri Jababeka II,, Jl. Industri Selatan 3A Blok GG, No. 2D, Cikarang, 100, 2, 219, PT. CRESTEC INDONESIA, Kawasan Industri MM2100 Jl, Lombok Blok N-2, Cikarang, Barat, Bekasi 17520, 100, 2, 220, PT. INDONESIA CHI YUAN, Kawasan Industri Jababeka, Blok K-2C, Jl. Jababeka VII B,, Cikarang Utara, Bekasi, 300, 3, 221, PT. MAS INDONESIA, Kawasan Industri MM2100 Blok, E-8-A, Gandamekar, Cikarang, Barat, 150, 2, , , R A H A S I A, , , R A H A S I A, 151, , 1, 2, 3, 4, 5, 222, PT. PATEC PRESISI, ENGINEERING, Delta Silicon Industrial Park,~Jl., Angsana Raya Blok L3-, 01,~Lippo Cikarang, Desa, Sukaresmi,~Kec. Cikarang, Selatan,",Jababeka
PT. SINAR SYNO KIMIA,"Bekasi International Industrial, Estate, Jl. Inti III Blok C8, No. 4-, 6, Cikarang, Bekasi, 100, 2, 224, PT. MALUGO INDONESIA, Kawasan lndustri Jababeka ll,, Jl. lndustri Selatan I, Blok 00 3B, 100, 1, 225, PT. PLAVIS INDUSTRY, Kawasan Industri Jababeka I,, Jl. Jababeka XVI Blok V-69/2,, Desa Pasir Gombong, Cikarang, Utara, 200, -",Jababeka
PT. TOYOPLAS,"MANUFACTURING, INDONESIA, Kawasan Industri Delta Silicon, II, Jl. Trembesi F5 No. 9, Kel., Cibatu, Kec. Cikarang Selatan, 100, -, 227, PT. YAMAHA MOTOR, ELECTRONICS INDONESIA, Kawasan Industri MM2100 Blok, KK-2, 3, 4,~Desa Jatiwangi,, Kec. Cikarang Barat, Bekasi, 200, 2, 228",MM2100
PT. POSMI STEEL,"INDONESIA, Kawasan Industri MM 2100, Jl., Sulawesi I Blok H-4-1, Ganda, Mekar, Cikarang Barat, Bekasi, 17520, 300, 5, 229, PT. JTEKT INDONESIA, Kawasan Industri Surya Cipta, Kav. I-27 B, Desa Kutanegara,, Kec. Ciampel, 100, -, 230, PT. TOSHIBA CONSUMER, PRODUCTS INDONESIA, EJIP Industrial Park Plot. 5G,, Cikarang Selatan, 100, 1, 231, PT. VUTEQ INDONESIA, Jl. Cempaka Km. 37,, RT.003/RW.002, Kel. Jatimulya,, Kec. Tambun Selatan, Bekasi, 100, 1, 232",MM2100
PT. VUTEQ INDONESIA,"Jl. Cempaka Km. 37,, RT.003/RW.002, Kel. Jatimulya,, Kec. Tambun Selatan, Bekasi, 100, 1, 233",Tambun
PT. O.M. INDONESIA,"Kawasan Industri Jababeka, Jl., Jababeka III H Blok C-17 HT,, 50, -, 234, PT. O.M. INDONESIA, Kawasan Industri Jababeka, Jl., Jababeka III H Blok C-17 HT,, 100, -, 235, PT. SUMCO INDONESIA, Kawasan Industri MM 2100,, Blok GG-6, Cikarang Barat,, 100, -, 236, PT. ALL TRY INDUSTRIAL, Delta Silicon Industrial Park, Jl., Meranti 2 Blok L-3 No.5, Lippo, Cikarang,, 400, 2, 237, PT. PEMARA LABELS, INDONESIA, Jl. Jababeka XVI Blok V 69 A-, B, Kawasan Industri Jababeka,, Desa Pasir Gombong, Kec., Cikarang Utara, 100, 1, 238, PT. MIKUNI INDONESIA, Kawasan  Industri  MM2100, Jl., Irian~Blok QQ-1, Desa, Jatiwangi, Kec. Cikarang Barat, 100, 1, 239",Jababeka
PT. ASIANET SPRING,"INDONESIA, Kawasan Industri Jababeka, Tahap II, Jl. Industri Utama I, Blok RR No.3D,3E & 3F,, Cikarang,null, 200, -, 240, PT. JAWA MANUFACTURING, & TRADING COMPANY, Kawasan Industri MM2100, BLok I-6,, 100, 2, , , R A H A S I A, , , R A H A S I A, 152, , 1, 2, 3, 4, 5, 241, PT. FERRO MAS DINAMIKA, Jl. Raya Cikarang Cibarusah,, Kp. Tegal Gede, Desa Pasir, Sari, Kec. Cikarang Selatan, Bekasi 17550, 100, 4, 242, PT. SEAH PRECISION, METAL INDONESIA, Kawasan Industri Delta Silicon,, ~Jl. Akasia 3 Blok A-6 No.7,, ~Desa Sukaresmi, Kec., Cikarang Selatan, ~Kabupaten, Bekasi 17550, 100",Jababeka
PT. TAI ELECTRONIC,"INDONESIA, Kawasan Industri Jababeka,Jl., Jababeka IV Blok T1, E,F,Bekasi 17530, 200, 1, 244, PT. RUBBER & RUBBER, TECH. (R&R TECH), Jl. Jati 5 Blok J-4 No. 1, Newton, Techno Park, Lippo Cikarang,, Desa Serang, Cikarang Selatan, 100, -, 245, PT. ENKEI INDONESIA, Lippo City Development Blok, C.11 No. 8, Techno Village, Desa Cibatu, Cikarang Selatan,, 100, 3, 246, PT. ENKEI INDONESIA, Lippo City Development Blok, C.11 No. 8, Techno Village, Desa Cibatu, Cikarang Selatan,, Kab Bekasi, Jawa Barat, 100, -, 247, PT. MARUHACHI INDONESIA, EJIP Industrial Park, Plot 7F-1,, Kelurahan Sukaresmi,, Kecamatan Cikarang Selatan,, Bekasi 17550, 200, 2, 248, PT. NITTO MATERIALS, INDONESIA, EJIP Industrial Park Plot 8C, Blok B1-B2,~Cikarang, Bekasi, 17550, 200, 2, 249",Jababeka
PT. CAHAYATIARA MUSTIKA,"SCIENTIFIC INDONESIA, Kawasan Industri Jababeka I,, Jl. Jababeka IX.B, Blok P-6-H,, Cikarang, Kabupaten Bekasi,, Provinsi Jawa Barat 17530, 200, 3, 250, PT. SEIWA INDONESIA, Kawasan Industri MM2100, Jln., Lombok I Blok M2-2,, gandamekar, Cikarang Barat, , 100, , 5, 251, PT. COCA-COLA BOTTLING, INDONESIA, Pondok Indah Office Tower 2,, Lt.14, ~Jl. Sultan Iskandar, Muda Kav. V-TA, ~Kel. Pondok, Pinang, Kec. Kebayoran Lama~",Jababeka
PT. PBI TRADING &,"SERVICES, Kawasan Industri MM2100 Blok, M-1-1, Ganda Mekar, Cikarang, Barat, Bekasi 17520, 100, 2, 253, PT. HANWA STEEL SERVICE, INDONESIA, Kawasan Industri MM2100,~Jl., Irian Blok QQ-5,, Jatiwangi,~Cikarang Barat,, Bekasi,~Jawa Barat 17520, 200",MM2100
PT. NIPPON INDOSARI,"CORPINDO Tbk, Kawasan Industri MM2100, ~Jl., Selayar Blok A9 Desa, Mekarwangi, ~Kec. Cikarang, Barat, 200",MM2100
PT. COCA-COLA BOTTLING,"INDONESIA, Pondok Indah Office Tower 2,, Lt.14, ~Jl. Sultan Iskandar, Muda Kav. V-TA, ~Kel. Pondok, Pinang, Kec. Kebayoran Lama~, 300, 3",Lainnya
PT. COCA-COLA BOTTLING,"INDONESIA, Pondok Indah Office Tower 2,, Lt.14, ~Jl. Sultan Iskandar, Muda Kav. V-TA, ~Kel. Pondok, Pinang, Kec. Kebayoran Lama~, 150, 2",Lainnya
PT. DENSO INDONESIA,"Jl. Gaya Motor I No. 6, Sunter, II,~Kel. Sungai Bambu, ~Kec., Tanjung Priok, Jakarta, 200, 2, 258",Lainnya
PT. MARUHACHI INDONESIA,"EJIP Industrial Park, Plot 7F-1,, Kelurahan Sukaresmi,, Kecamatan Cikarang Selatan,, 100, 2, 259, PT. CERI FOSHAN, INDONESIA, Jl. Industri Utara I Blok WW No., 11,~Desa Mekarmukti, Kec., Cikarang Utara, 100, 1, 260",EJIP
PT. BUMJIN ELECTRONICS,"INDONESIA, Kawasan Industri Jababeka, Tahap 3, Blok A5B, Kel. Pasir, Gembong, Kec. Lemah Abang,, Cikarang, 200, -, 261, PT. EASY LAS ELECTRIC, Jl. Meranti III Blok L8-9A, Delta, Silicon Industrial, 100, -, 262, PT. VERMEER INDONESIA, Kawasan Industri Jababeka I,, Jl. Jababeka III Blok C. 45 G-H,, Kawasan Industri Jababeka I, Desa Pasir Gombong,, Kecamatan Cikarang Utara,, 200, 2, 263, PT. SCHOTT IGAR GLASS, Jl. Meranti 3 Blok L-8/6-B, Delta, Silicon Industrial Park, Desa, Sukaresmi, Kec. Cikarang, Selatan, 300",Jababeka
PT. NT INDONESIA,"Kawasan Industri, Mitrakarawang,~Jl. Mitra Raya, II Blok E No. 3,~Kel., Parungmulya, Kec. Ciampel~, 100, -",Lainnya
PT. VALAMPURI PLASTIC,"Jl. Nusa Indah No. 55 RT 01, RW 04, Desa Nagrak,, Kecamatan Gunung Putri, 100, 1, 269, PT. TOYONAGA INDONESIA, Kawasan Industri Jababeka, Cikarang, Jl. Industri Selatan V, Blok EE 3C, Desa Pasir Sari,, Kec. Cikarang Selatan,, Kabupaten Bekasi, Jawa Barat, 100, 1, 270, PT. PRECISION TOOLS, SERVICE INDONESIA, Jababeka Techno Park Blok, A8K, Kawasan Industri, Jababeka III, Pasir Gombong,, Cikarang Utara, 100, 1, 271, PT. JUKEN TECHNOLOGY, INDONESIA, EJIP Industrial Park Plot 1F-, 3C, Cikarang Selatan Bekasi, 17500, 50, -, 272, PT. MIURA INDONESIA, Kawasan Industri KIIC,~Jl., Harapan Raya, Lot. KK-, 10,~Desa Sirnabaya, Kec., Telukjambe Timur, 100",Jababeka
PT. YUTAKA,"MANUFACTURING, INDONESIA, Kawasan Industri MM2100, Industrial Town, Jl. Sulawesi I, Blok H-4, Cikarang Barat,, Bekasi, Jawa Barat, 100, -, , , R A H A S I A, , , R A H A S I A, 154, , 1, 2, 3, 4, 5, 274, PT. COCA-COLA BOTTLING, INDONESIA, Pondok Indah Office Tower 2,, Lt.14, ~Jl. Sultan Iskandar, Muda Kav. V-TA, ~Kel. Pondok, Pinang, Kec. Kebayoran Lama~, 400, 2",MM2100
PT. JCU INDONESIA,"Jl. Pinang Blok F16 No. 15 C,, Delta Silicon III Industrial Park,, Lippo Cikarang, Bekasi, 100, 1, 276, PT. KAWATA INDONESIA, Kawasan Industri Jababeka, Tahap 3, Blok E 2C, Kelurahan, Pasir Gombong, Kecamatan, Cikarang Utara, Bekasi, 100, 1, 274, PT. POSMI STEEL, INDONESIA, Kawasan Industri MM 2100, Jl., Sulawesi I Blok H-4-1, Ganda, Mekar, Cikarang Barat, Bekasi, 17520, 200, -, 275, PT. KIMBERLY-CLARK, INDONESIA, Wisma GKBI Lt. 12 Suite 1201,, Jl. Jend. Sudirman No. 28,, Bendungan Hilir, Tanah Abang,, Jakarta Pusat 10210, 100, 2, 276, PT. SURYA SHUENN KU, INDUSTRY, Kawasan Industri Delta Silicon,, Jl. Kruing II Blok L,7, No. 2,, Lippo Cikarang, Desa, Sukaresmi, Kec. Lemah Abang,, Bekasi, 100, 4, 277, PT. NANBU PLASTICS, INDONESIA, Kawasan Industri MM2100, Jl., Bali I Blok J-16, Gandarmekar,, Cikarang Barat, Bekasi 17520, 100, 2, 278, PT. NSK BEARINGS, MANUFACTURING, INDONESIA, Kawasan Industri MM2100 Blok, M4, Cikarang Barat, Bekasi, 17520, 200, 1, 279, PT. KYOEI DENKI TRADING, INDONESIA, Jl. Jababeka II  TOB Blok C No., 18 V, Kawasan Industri, Cikarang, Desa Pasir, Gombong, Kec. Cikarang Utara,, Bekasi 17530, 100, -, 280, PT. ULTRA PRIMA, ARTABOGA, Delta Silicon Industrial Park,  Jl., Kruing II Blok L9 No. 1, Bekasi, 17550, 100, 3, 281, PT. FURUKAWA, AUTOMOTIVE SYSTEMS, INDONESIA, Kawasan Industri Bekasi, International Industrial Estate, (BIIE), Jl. Inti Raya Blok C-2, No. 11, Desa Cibatu, Kec., Cikarang Selatan,, 100, -, 282, PT. FCTEC FASTENER, INDONESIA, Kawasan Industri Jababeka I,, Jl. Jababeka XVII G Blok U 20, F, Desa Karang Baru, Kec., Cikarang Utara, , , 283, PT. MARUHACHI INDONESIA, EJIP Industrial Park, Plot 7F-1,, Kelurahan Sukaresmi,, Kecamatan Cikarang Selatan,, Bekasi 17550, , , 284, PT. SEKISUI PLASTICS, INDONESIA, Jl. Niaga Raya Kav. AA3, CBD, Jababeka-2, Blok C No. 2,, Desa Pasirsari, Kec. Cikarang, Selatan, 200, 3, , , R A H A S I A, , , R A H A S I A, 155, , 1, 2, 3, 4, 5, 285, PT. SEAH PRECISION, METAL INDONESIA, Kawasan Industri Delta Silicon,, ~Jl. Akasia 3 Blok A-6 No.7,, ~Desa Sukaresmi, Kec., Cikarang Selatan, ~Kabupaten, Bekasi 17550",Jababeka
PT. BOLIM INDONESIA,"Rukan Bintang Persada No. 6,, Jl. Mustika Sari Raya, Kp., Rawasapi RT. 004 RW. 010,, Kelurahan Jatimulya,, Kecamatan Tambun Selatan,, Kabupaten Bekasi 17510, , , 287, PT. DIGITAL MEDIA, TECHNOLOGY, Kawasan Industri MM2100, Jl., Bali Blok H1 No. 1, Ds., Gandamekar, Kec. Cikarang, Barat, Bekasi, Jawa Barat, 100, 2, 288, PT. CASHEW GREBE, INDONESIA, Jl. Selayar Kav. A7, Bekasi, Fajar MM2100, Mekarwangi,, Cikarang Barat, Bekasi 17520, , , 289, PT. NIPPON INDOSARI, CORPINDO Tbk, Kawasan Industri MM2100, ~Jl., Selayar Blok A9 Desa, Mekarwangi, ~Kec. Cikarang, Barat",MM2100
PT. FUJISEI METAL,"INDONESIA, Jl. Kampung Buni RT. 011 RW., 004, Desa Buni Bakti,, Kecamatan Babelan, Bekasi, 300, 3, 291, PT. HANWA STEEL SERVICE, INDONESIA, Kawasan Industri MM2100,~Jl., Irian Blok QQ-5,, Jatiwangi,~Cikarang Barat,, Bekasi,~Jawa Barat 17520, 150",MM2100
PT. JX NIPPON OIL &,"ENERGY LUBRICANTS, INDONESIA, Kawasan Industri MM2100, Jl., Timor Blok E-7, Jatiwangi,, Cikarang Barat, Bekasi, 200, 2, 293, PT. HOSU, Ruko Olympic Square, Jl., Sriwijaya No. 03, Lippo, Cikarang, Desa Cibatu,, Cikarang Selatan, Bekasi, 100, 2, 294, PT. GRACE SPECIALTY, CHEMICALS INDONESIA, Jl. Jababeka Raya Kav. C-32,, Cikarang Industrial Estate,, Pasir Gombong, Cikarang,, Bekasi 17530, 100, 1, 295, PT. SUMISHO GLOBAL, LOGISTICS INDONESIA, EJIP Industrial Park Plot 1E-2,, Desa Sukaresmi, Cikarang, Selatan, 200, -, 296, PT. SINAR INDAH JAYA, ABADI, Cikarang Square Blok B.33, Jl., Cikarang Cibarusah Km. 40, 100, -, 297, PT. ESSAR INDONESIA, Graha Essar, Bekasi Fajar, Industrial Essar, ~Industri 3,, Area Kav.#B1, ~Cibitung,, Bekasi 17520, 200, 2",Jababeka
PT. MALINDO FOOD,"DELIGHT, Pusat Niaga Duta Mas, Fatmawati Blok A.1/30-32,~Jl., RS. Fatmawati No. 39, Kel., Cipete Utara,~Kec. Kebayoran, Baru, 300",Lainnya
